Penetration,UCS,BTS,Thrust,Torque,CL,Alpha,FS,B1,B2,B3,B4,B5,Bi,SE,TqDTh
4.826,134.2409242,10.44555728,17867.82559,1597.897882,297.7970932,40,0.4,12.85148515,0.855611151,72.34324076,701.1106317,26.47849376,3.827523044,53142.63518,0.089428782
3.302,134.2409242,10.36971495,18415.05026,1373.143941,306.9175043,4,1.6,12.94547872,0.856584343,72.3053196,696.0200594,26.38219209,3.8261287,66745.25222,0.074566397
4.318,133.8961864,10.27318835,15317.19753,1260.837473,255.2866255,81,0.4,13.03355705,0.857484457,72.08468736,687.7703708,26.22537647,3.821882354,46865.99615,0.082315154
4.318,133.7582912,10.05255611,14854.92945,1339.506098,247.5821574,60,0.4,13.30589849,0.860197526,71.90542367,672.3063642,25.92887125,3.81675254,49790.15056,0.090172498
4.572,143.4109514,9.432027959,15518.03474,1742.998874,258.6339123,33,1.6,15.20467836,0.876578852,76.42148969,676.3280517,26.00630792,3.87146942,61188.84666,0.112320851
4.318,145.3414835,9.135553396,16418.25248,1558.02192,273.6375413,71,1.6,15.90943396,0.88172283,77.23851843,663.8874414,25.7660133,3.878235167,57912.49932,0.094895722
5.08,146.1688543,8.777026017,15348.27281,1332.915467,255.8045468,32,0.4,16.65357423,0.886708495,77.47294018,641.4639187,25.32713799,3.875976007,42113.39732,0.086844656
4.064,145.8241165,8.583972814,16825.50051,1500.493209,280.4250085,61,0.8,16.98795181,0.888814468,77.20404464,625.8751257,25.01749639,3.869383319,59260.00959,0.089179707
3.048,137.4814602,7.997918445,18985.69926,1131.604975,316.4283211,10,1.6,17.18965517,0.890047393,72.7396893,549.782753,23.44744662,3.79935507,59588.33735,0.059603018
5.08,140.6530485,7.722128154,12991.11125,1055.708998,216.5185208,15,0.1,18.21428571,0.895910781,74.18758833,543.0704329,23.30387163,3.81438159,33355.07283,0.081263949
4.826,145.4793786,7.687654367,16961.80292,1546.774055,282.6967153,52,0.8,18.92376682,0.899617376,76.58351649,559.1975901,23.64735905,3.845829725,51442.36702,0.091191606
4.064,158.5794174,8.652920386,13070.91235,902.4500489,217.8485391,36,0.1,18.32669323,0.896516182,83.61616891,686.087537,26.19327274,3.952936518,35641.08004,0.069042621
4.572,158.9241553,8.708078445,15199.08835,1292.194831,253.3181392,74,0.2,18.25019794,0.896104964,83.81611687,691.9620056,26.3051707,3.956339887,45363.14541,0.085017917
4.318,159.2688932,8.756341746,17521.0022,1472.795204,292.0167033,35,0.8,18.18897638,0.895773492,84.01261746,697.306429,26.40656034,3.959577754,54744.57718,0.084058845
